"Type";"Status";"Name";"Gas in storage (TWh)";"Full (%)";"Trend (%)";"Consumption (TWh)";"Stock/Cons (%)";"Injection (GWh/d)";"Withdrawal (GWh/d)";"Technical Capacity (TWh)";"Injection Capacity (GWh/d)";"Withdrawal Capacity (GWh/d)";"Contracted Capacity (TWh)";"Available Capacity (TWh)";"Covered Capacity (%)"
"company";"C";"Nafta";"21.5217";"72.93";"-0.09";"0";"0";"74.42";"100.9";"29.51";"338.3";"418.9";"29.0558";"0.4542";"0"
"facility";"C";"UGS Láb (incl. Gajary baden)";"21.5217";"72.93";"-0.09";"0";"0";"74.42";"100.9";"29.51";"338.3";"418.9";"29.0558";"0.4542";"0"
"company";"C";"Pozagas";"5.65";"76.78";"0.04";"0";"0";"29.47";"26.6";"7.359";"72.66";"72.66";"7.13";"0.229";"0"
"facility";"C";"UGS Lab IV - Pozagas";"5.65";"76.78";"0.04";"0";"0";"29.47";"26.6";"7.359";"72.66";"72.66";"7.13";"0.229";"0"
"country";"E";"Spain";"28.2425";"82.85";"-0.34";"380.61";"7.42";"0";"116.1";"34.0904";"166.57";"241.37";"0";"0";"100"
"company";"E";"Enagás GTS";"28.2425";"82.85";"-0.34";"0";"0";"0";"116.1";"34.0904";"166.57";"241.37";"34.0272";"0.0632";"0"
"facility";"E";"VGS Enagás Basic Underground Storage (Serrablo, Yela, Gaviota, Marismas)";"28.2425";"82.85";"-0.34";"0";"0";"0";"116.1";"34.0904";"166.57";"241.37";"34.0272";"0.0632";"0"
"country";"C";"Sweden";"0.0779";"76.64";"0";"8.46";"0.92";"0";"0";"0.1017";"6.5";"8.6";"0";"0";"100"
"company";"C";"Swedegas";"0.0779";"76.64";"0";"0";"0";"0";"0";"0.1017";"6.5";"8.6";"0";"0";"0"
"facility";"C";"UGS Skallen";"0.0779";"76.64";"0";"0";"0";"0";"0";"0.1017";"6.5";"8.6";"0";"0";"0"
"country";"N";"United Kingdom (Pre-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Centrica Storage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Rough";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"EDF";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hill Top Farm (Cheshire)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holehouse Farm Storage (decommissioned)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Humbly Grove Energy";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Humbly Grove";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Scottish Power";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hatfield Moor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"SSE Gas Storage";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Aldbrough I";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hornsea (Atwick)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Storengy UK";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Stublach";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Uniper Energy Storage Ltd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holford";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Non-EU";"C";"Non-EU";"71.4576";"21.62";"-0.22";"221.64";"0";"43.68";"838.1";"330.58";"2856.53";"1878.6";"0";"0";"0"
"country";"N";"Serbia";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"N";"Srbijagas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Banatski Dvor";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"country";"C";"Ukraine";"65.531";"20.43";"-0.24";"221.64";"29.57";"0";"819.9";"320.7164";"2336.6";"1376.82";"0";"0";"0"
"company";"C";"Ukrtransgaz";"65.531";"20.43";"-0.24";"0";"0";"0";"819.9";"320.7164";"2336.6";"1376.82";"0";"0";"0"
"facility";"C";"VGS Ukraine (all storage facilities)";"65.531";"20.43";"-0.24";"0";"0";"0";"819.9";"320.7164";"2336.6";"1376.82";"0";"0";"0"
"country";"C";"United Kingdom (Post-Brexit)";"5.9265";"60.09";"0.26";"0";"0";"43.68";"18.2";"9.8636";"519.93";"501.78";"0";"0";"0"
"company";"N";"Centrica Storage (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Rough (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"16.5";"0";"0";"0";"0";"0"
"company";"N";"EDF (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hill Top Farm (Cheshire) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0.649";"0";"0";"0";"0";"0"
"facility";"N";"UGS Holehouse Farm Storage (decommissioned) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"company";"C";"Humbly Grove Energy (Post-Brexit)";"2.0989";"74.56";"0";"0";"0";"0";"0";"2.815";"49";"79";"0";"0";"0"
"facility";"C";"UGS Humbly Grove (Post-Brexit)";"2.0989";"74.56";"0";"0";"0";"0";"0";"2.815";"49";"79";"0";"0";"0"
"company";"N";"Scottish Power (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hatfield Moor (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0.77";"0";"0";"0";"0";"0"
"company";"N";"SSE Gas Storage (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"facility";"N";"UGS Aldbrough I (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"3.245";"0";"0";"0";"0";"0"
"facility";"N";"UGS Hornsea (Atwick) (Post-Brexit)";"0";"0";"0";"0";"0";"0";"0";"3.41";"0";"0";"0";"0";"0"
"company";"C";"Storengy UK (Post-Brexit)";"2.6726";"60.74";"0.58";"0";"0";"43.55";"18.2";"4.4";"182";"182";"0";"0";"0"
"facility";"C";"UGS Stublach (Post-Brexit)";"2.6726";"60.74";"0.58";"0";"0";"43.55";"18.2";"4.4";"182";"182";"0";"0";"0"
"company";"C";"Uniper Energy Storage Ltd (Post-Brexit)";"1.155";"43.61";"0";"0";"0";"0.13";"0";"2.6486";"288.93";"240.78";"0";"0";"0"
"facility";"C";"UGS Holford (Post-Brexit)";"1.155";"43.61";"0";"0";"0";"0.13";"0";"2.6486";"288.93";"240.78";"0";"0";"0"
